"","site_id","x","y","ws_area","ws_perim","river_length","burn_pct","sever1_pct","sever2_pct","sever3_pct","sever4_pct","sever5_pct","lu_water_pct","lu_agri_pct","lu_other_pct","lu_urban_pct","lu_wetland_pct","slp_mean","slp_median","slp_std","slp_max","slp_min","aspect_mean","aspect_median","aspect_std","aspect_max","aspect_min","wetland_area","wet_burn_pct","spring_mean_turbidity_FTU_SCAN","summer_mean_temp_C_YSI","summer_mean_DO_perc_YSI","slope_log_NO3_mg_L_SCAN"
"1","NBS.60",-111.6932649,39.96891852,51867516.61,30979.02759,64310.94234,64.04919946,8.901525082,16.14247326,20.95242015,18.0581231,0.017351901,0.491462812,0,0,0.304490018,0,16.47149086,14.34823608,9.700883865,62.34035492,0,175.1324463,176.983551,118.5627823,359.9986572,0,465029.2387,63.15361516,10.0714285714286,14.4473333333333,98.6733333333333,-0.630488691842046
"2","NBS.12",-111.5439866,40.04151099,1600839804,250513.9683,2098004.522,33.71593553,5.575498546,10.04851326,11.82496834,5.521301993,0.745146389,0.056047915,1.115196998,1.864479041,0.440552579,0.164758855,18.29887581,17.87853241,9.246401787,70.42533875,0,183.8826599,182.2340088,103.3488922,359.9998169,0,13984023.04,32.65904981,25.4875,14.9973076923077,104.980769230769,-0.126069047847844
"3","NBS.05",-111.4400389,40.06704355,19908653.39,26372.53381,28845.71656,60.82241976,11.509568,27.08319792,16.45063549,4.186119391,1.604829788,0.012585547,0.226772389,0,0,0,22.82912254,22.96101379,9.325389862,61.07021332,0.058303867,145.8865509,127.845932,86.47386169,359.9942017,0.001045702,146540.076,53.82614239,4.48631578947368,19.6145833333333,102.8,-0.071195361445679
"4","NBS.03",-111.4782337,40.04240473,386153081.8,113784.5097,521958.9777,19.05016365,4.639455399,7.968601431,4.642718353,0.838812417,0.962804695,0.055570317,0.023861427,0.662856874,0.051657694,0.04051662,19.11714554,18.70648575,8.849725723,70.42533875,0,190.2154083,193.102417,98.87648773,359.9997559,0,3188625.392,20.1349165,7.14791666666667,18.2925925925926,106.066666666667,-0.49530134349729
"5","NBS.15",-111.4979936,40.16561605,151977052.5,67523.12399,244301.1888,0,0,0,0,0,0,0.04995412,0.86512358,1.111809987,1.262491365,0.020465009,23.53786278,23.99038315,10.26322174,71.28905487,0,172.9611206,166.7967377,91.71753693,359.9994507,0,1376683.213,0,2.6768,14.4369696969697,99.0151515151515,-0.516730523542366
"6","NBS.16",-111.4955981,40.16551546,109188514.3,66251.19057,140251.1411,0,0,0,0,0,0,0.014479446,0.006788797,0,0.055833655,0.009393187,22.45714951,22.36620331,9.393157959,70.76548767,0.004104444,190.9258728,196.8353271,99.15473938,359.9988708,0.000621084,781902.0781,0,5.01181818181818,17.1555555555556,133.77037037037,3.79290363118509
"7","NBS.34",-111.1561987,39.93076154,8024045.684,13694.7995,7161.895959,0,0,0,0,0,0,0.027428752,0,0,0.016830241,0,15.35212803,14.05425358,8.1323843,51.12517166,0.00494947,175.9674988,236.7641449,120.4445801,359.9946289,0,44923.19698,0,3.72454545454545,15.746,96.02,-0.0622996443262827
"8","NBS.35",-111.1562363,39.93133438,20473645.27,19729.26801,20029.36153,0,0,0,0,0,0,0.041519975,0,1.544631846,0.335989617,0,14.33216763,12.16740799,7.656754971,49.89559937,0.074129455,198.5406952,198.7809906,124.1364365,359.999054,0,117182.9112,0,12.1005263157895,12.5376,100.172,0.00939614178133285
"9","NBS.32",-111.20029,39.932357,38309547.38,29208.07538,37080.97666,0,0,0,0,0,0,0.027934415,0,0.825492512,0.183086968,0,14.81443977,13.15682411,7.706850052,51.12517166,0.00494947,198.2995911,211.1723022,122.9146194,359.999054,0,230363.8455,0,11.72,16.107,193.58,-0.179161827458851
"10","NBS.30",-111.1996901,39.93561132,33431812.91,32010.14338,31729.86198,82.89681137,6.888947382,16.39456411,31.44848899,28.09150681,0.053840933,0,0,0,0.018688698,0,16.55698586,15.67051792,7.40146637,48.66162491,0.058390547,210.0541534,247.2036743,119.9682236,359.9993896,0,210008.3885,83.58173229,13.8048,14.7046666666667,102.093333333333,-0.566111912214644
