"rid","sortchem","datetime_","site_id","name_of_wa","x","y","notes","temp_C_YSI","pressure_m","DO_perc_YS","DO_mg_L_YS","SPConducti","pH_YSI","ORP_mV_YSI","chl_ug_L_Y","chl_RFU_YS","PC_ug_L_YS","NO3_mg_L_S","NH4_mg_L_S","SRP_mg_L_S","TSS_g_mL_S","turbidity_","NO3_mg_L_1","TOC_mg_L_S","DOC_mg_L_S","aluminum_m","arsenic_mg","boron_mg_L","barium_mg_","calcium_mg","cadmium_mg","cobalt_mg_","chromium_m","copper_mg_","iron_mg_L_","potassium_","magnesium_","manganese_","molybdenum","sodium_mg_","nickel_mg_","phosphorus","lead_mg_L_","sulfur_mg_","selenium_m","silicon_mg","strontium_","titanium_m","vanadium_m","zinc_mg_L_","TIC_mg_L_e","TC_mg_L_el","NPOC_mg_L_","TNb_mg_L_e","TIC_area_e","TC_area_el","NPOC_area_","TNb_area_e","lithium_pp","sodium_ppb","ammonium_p","potassiu_1","magnesiu_1","calcium_pp","strontiu_1","fluoride_p","acetate_pp","formate_pp","chloride_p","nitrite_pp","bromide_pp","nitrate_pp","sulfate_pp","phosphate_","FI_FI370__","BIX_FI310_","HIX_FI254_","Abs254_aqu","slp274_295","slp350_400","SR_aqualog","ES_E3_aqua","NO3_mg_L_l","PO4_mg_L_l","discharge_","project_id","project__1","Type","NEAR_FID","NEAR_DIST","NEAR_X","NEAR_Y","NEAR_ANGLE","ratio","upDist","h2oLandKm2","afvArea","locID","netID","pid","computed.afv","response"
421,"2018-1277","10/4/18 16:31","NBS.60","Peetneet Creek",-111.6932649,39.96891852,"Water looks much clearer (dilute milk chocolate)",9.8,640,118.9,11.25,547.8,8.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.42466667,49.276,NA,0.601666667,41.42466667,23616.33333,NA,4201.333333,NA,NA,NA,NA,NA,NA,NA,20.008,NA,0.1395,278.2646,0.0317,0.2543,0.2456,276.9858,4.3626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Megafire","PoleCreekFire",2,422,12.0741665448,440806.368604,4424544.55279,39.2894006424,0.877099346579,1836.09994902,44.0156494644,0.83863723517,"45","6",1,1,-0.264747453542226
389,"2018-1323","10/5/18 17:11","NBS.12","Spanish Fork River",-111.5439866,40.04151099,"NA",10.5,656,128,12,671,7.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.69733333,47.44433333,NA,0.511,29.69733333,22730.33333,NA,3535,NA,NA,NA,NA,NA,NA,NA,18.588,NA,NA,1285.0472,0.7444,0.4381,23.7755,1202.1476,2.3952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Megafire","PoleCreekFire",8,390,8.36275515,453589.624871,4432498.78552,-125.311210534,0.0621632130782,14546.5717624,3461.20914333,0.992727243148,"14","5",2,0.992727243148144,-0.067988500157402
368,"2018-7455","5/17/19 13:18","NBS.05","Little Diamond",-111.4400389,40.06704355,"NA",9.17,622.5,113.5,10.66,325,8.6,126,NA,NA,NA,NA,NA,NA,NA,5.47,0.64,3.47,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.64066667,14.97066667,NA,0.366666667,13.64066667,7325,NA,1758.666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310.3662322,"MegaFire","mixedbaselinecitsci",1,369,4.94422561303,462476.090215,4435285.5803,-90,0.0112310416935,27069.3474626,22.7759509717,0.00675847548374,"4","5",3,0.00675847548373473,0.0580500707273832
391,"2019-0141","5/17/19 14:00","NBS.03","Diamond Fork",-111.4782337,40.04240473,"NA",8.97,629.8,94.1,8.96,469,8,364.9,NA,NA,NA,NA,NA,NA,NA,10.83,0.83,7.18,3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.684,29.501,NA,0.494,26.684,14617.66667,NA,2546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MegaFire","mixedbaselinecitsci",5,392,19.6906744698,459194.146581,4432589.49983,120.963811984,0.996122566034,22148.1455694,564.779100863,0.164146189332,"2","5",4,0.164146189331514,-0.0341267702073763
325,"2019-0127","5/17/19 16:16","NBS.15","Hobble Crk North",-111.4979936,40.16561605,"NA",7.68,624.1,113.1,11.04,210,8.27,214.7,NA,NA,NA,NA,NA,NA,NA,5.2,1.65,6.69,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.90366667,19.76366667,NA,0.748,16.90366667,9730.666667,NA,4111.666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1127.698421,"MegaFire","mixedbaselinecitsci",2,326,0.961760663019,457594.220609,4446257.41108,-178.315312434,0.0599298826912,11105.5535692,138.728672163,0.465775208831,"17","4",5,0.511226044366334,-0.219065765233123
326,"2018-7567","5/23/19 14:49","NBS.16","Hobble Crk South",-111.4955981,40.16551546,"NA",6.78,623,62.8,6.37,311,8.01,190.2,NA,NA,NA,NA,NA,NA,NA,6.77,0.43,6.88,4.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16.597,NA,0.228666667,0,7801.666667,NA,1467.333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MegaFire","Synoptic",2,327,3.27480230485,457796.746339,4446247.40516,136.080926423,0.127565304946,11174.5792289,107.223488101,0.360743732754,"18","4",6,0.39594548621119,-0.258219670702802
479,"2019-0305","6/12/19 8:40","NBS.34","Davidson Canyon",-111.1561987,39.93076154,"Took eDNA athe confluence of NBS 34 and NBS 35",9.12,816,70,6.37,473,8.23,159.7,NA,NA,NA,NA,NA,NA,NA,1.65,1.31,1.6,1.01,-0.0031,-2e-04,0.0155,0.0264,15.9,0,-6e-04,0,0.0011,4e-04,0.5629,21.34,0.0011,0.0023,4.36,7e-04,9e-04,0.0034,2.821,0.0073,0.582,0.0686,6e-04,0.0441,-0.032,50.839,48.221,NA,0.463,50.839,22127,NA,2053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71,0.69,9.99,0.0247,-0.0176,-0.0233,0.756,7.07,NA,NA,NA,"MegaFire","NBS",1,480,29.1024505266,486628.415788,4420070.46742,-153.434885977,0.0154871214194,57421.9215562,40.5067301841,0.0125730686949,"32","5",7,0.0125730686949308,0.083163773138601
463,"2019-0308","6/12/19 8:40","NBS.35","Soldier Creek",-111.1562363,39.93133438,"NA",10.51,805.1,84.1,7.32,1120,8.49,164.1,NA,NA,NA,NA,NA,NA,NA,3.61,2.08,2.4,1.49,-0.0022,-9e-04,0.0401,0.02,18.63,-3e-04,-1e-04,-1e-04,0.0012,-0.0012,1.597,39.5,7e-04,0.001,33.94,0.0014,-0.0027,0.0017,10.88,0.0051,0.3893,0.2026,6e-04,0.0811,-0.032,54.17133333,51.35166667,NA,0.676,54.17133333,23582,NA,3306.333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68,0.708,9.3,0.036,-0.0177,-0.0305,0.58,9.1,NA,NA,NA,"MegaFire","NBS",1,464,11.8988274153,486653.027052,4420135.28776,-81.8699227834,0.00966726808428,57436.1742957,299.987887646,0.0925674050836,"33","5",8,0.092567405083556,-0.402557733769821
468,"2019-0326","6/12/19 9:18","NBS.32","Soldier Creek",-111.20029,39.932357,"accidentally took 2 samples of the same river",7.2,816.3,79.9,7.64,364,8.67,176.9,NA,NA,NA,NA,NA,NA,NA,27.99,4.04,9.01,3.9,0.0393,0.0027,0.0155,0.0312,21.12,0,-4e-04,-4e-04,0.0015,0.0204,0.5985,7.628,0.0017,-3e-04,2.083,0.0012,0.0041,0.0017,1.354,0.0041,0.4273,0.0503,0.0027,0.0158,-0.0302,41.40633333,42.463,NA,1.229333333,41.40633333,19450.33333,NA,6566.333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,0.686,10.8,0.125,-0.0139,-0.014,0.992,4.71,NA,NA,NA,"MegaFire","NBS",2,469,26.0265650896,482911.586716,4420277.74972,21.8014528291,0.0288386135406,53273.8674426,350.567427755,0.105140473778,"31","5",9,0.105140473778487,-0.156644259307181
475,"2019-0320","6/12/19 9:32","NBS.30","Clear Creek",-111.1996901,39.93561132,"NA",6.93,816.5,79.6,7.75,457,8.77,195.5,NA,NA,NA,NA,NA,NA,NA,6.52,4.86,4.4,2.98,0.0022,0.0056,0.0152,0.0407,29.67,0,1e-04,-5e-04,9e-04,-9e-04,0.89,31.54,7e-04,2e-04,3.861,6e-04,0.003,0.003,4.686,0.0062,0.6,0.0784,-1e-04,0.0652,-0.0321,50.31433333,49.72033333,NA,1.294333333,50.31433333,22823.66667,NA,6949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74,0.757,10.5,0.0797,-0.0164,-0.0212,0.774,7.34,NA,NA,NA,"MegaFire","NBS",1,476,1.60565058461,482940.313645,4420630.53958,59.0361880295,0.021119139163,52974.8942674,40.1631435026,0.0120786303217,"29","5",10,0.0120786303216594,-0.0728249236193317
